,Aff,Neg,Win
0,New Trier SY,Niles North MK,Neg
1,Glenbrook North CR,Montgomery Bell KR,Aff
2,Montgomery Bell TB,Washburn Rural CN,Neg
3,Berkeley Prep NY,Barstow GK,Aff
4,Carrollton School of the Sacred Heart GB,Eastside HS,Aff
5,Lexington LM,Woodward PN,Neg
6,Bellarmine  DD,Berkeley Prep RV,Neg
7,Liberal Arts and Science BS,Peninsula KX,Aff
8,Quarry Lane CA,Lexington WH,Neg
9,Sonoma KY,Little Rock Central LW,Aff
10,Little Rock Central BW,Washburn Rural CH,Neg
11,Blue Valley North PS,Greenhill BH,Aff
12,Niles North CS,Woodward CM,Neg
13,Berkeley Prep LS,Galloway DP,Aff
14,Berkeley Prep RG,Bellarmine  AQ,Neg
15,Carrollton School of the Sacred Heart KL,Solorio TG,Neg
16,Wylie E. Groves XC,Blue Valley North CT,Aff
17,Glenbrook South KZ,Niles North SP,Aff
18,Northview LN,Quarry Lane PS,Aff
19,Peninsula LL,Shawnee Mission East PL,Neg
20,Barstow OT,NSU EY,Neg
21,Blue Valley Southwest PC,Montgomery Bell SJ,Neg
22,Northview CT,Montgomery Bell HM,Neg
23,Northside  AS,Jesuit LR,Aff
24,Liberal Arts and Science BV,Lexington DS,Aff
25,Liberal Arts and Science RL,Montgomery Bell SL,Aff
26,Pace GM,Greenhill CL,Neg
27,Berkeley Prep LZ,Glenbrook South WB,Neg
28,Woodward JT,Univ Of Chicago Lab LL,Neg
