,Aff,Neg,Win
0,Winston Churchill LyRo,Jesuit MW,Neg
1,Winston Churchill MP,Heritage Hall HC,Aff
2,Liberal Arts and Science BF,Barack Obama Male Leadership Academy (HS) VT,Aff
3,Niles West KS,Damien-St. Lucy's PP,Neg
4,Damien-St. Lucy's OC,Isidore Newman JN,Neg
5,Friendswood PH,Berkeley Prep GS,Neg
6,Greenhill BC,Dallas Highland Park BC,Neg
7,Greenhill AX,Westwood GK,Neg
8,Caddo Magnet VA,Jesuit LR,Neg
9,Westwood ST,L C Anderson SW,Neg
10,George Washington MR,Westwood LU,Aff
11,Memorial CS,Coppell TB,Neg
12,Little Rock Central TN,Dripping Springs BC,Aff
13,Winston Churchill LR,Dulles CI,Neg
14,St Mark's School of Texas JB,Jesuit CJ,Aff
15,Coppell SJ,Friendswood AK,Aff
16,Ronald Reagan FP,Westwood SG,Aff
17,Damien-St. Lucy's KN,George Washington VS,Aff
18,St Mark's School of Texas TK,Woodward NP,Neg
19,Greenhill MB,Lovejoy PW,Neg
20,Jenks HG,Dripping Springs KT,Aff
21,Woodward TJ,Niles West SV,Aff
22,Greenhill BH,Kinkaid AK,Aff
23,BASIS San Antonio Shavano PK,Woodward CM,Neg
24,St Mark's School of Texas HD,Liberal Arts and Science LM,Neg
25,Greenhill MS,Melissa TN,Neg
26,Lake Travis SO,Berkeley Prep RZ,Aff
