,Aff,Neg,Win
0,Westminster VZ,Edison Prep BB,Aff
1,Iowa City LL,Interlake OW,Aff
2,Lexington NS,Washington BD,Neg
3,Niles North HD,Edina AC,Neg
4,Edina TS,Westminster PL,Neg
5,Northside  KP,Rowland Hall UL,Neg
6,Eagan WS,Niles North CR,Neg
7,Niles North MK,Alpharetta MM,Neg
8,Branson PW,St Paul Central MC,Aff
9,St Paul Central BM,Northside  AD,Neg
10,Lexington HS,Interlake YL,Neg
11,Rowland Hall VD,Interlake AW,Aff
12,Farmington CN,Northside  GT,Neg
13,Iowa City RC,Maine East AJ,Aff
14,Niles North CS,Alpharetta NI,Aff
15,Maize CL,Eagan MS,Aff
16,Lexington DS,Niles North SP,Neg
17,Minneapolis South WB,Interlake SC,Aff
18,Eagan TN,Farmington NS,Aff
19,Rowland Hall GH,West HS SLC JS,Aff
20,Iowa City HV,Lexington PS,Aff
21,St Paul Central UB,West HS SLC AK,Aff
22,Edina BL,Alpharetta GM,Neg
