,Aff,Neg,Win
0,North Lake Early BC,Jesuit LR,Neg
1,Isidore Newman JN,Newark Science AO,Neg
2,Rowland Hall GH,Taipei American YM,Aff
3,Montgomery Bell HM,Washburn Rural CR,Aff
4,Olathe North CF,Brophy PP,Aff
5,Dallas Highland Park CB,Liberal Arts and Science LM,Neg
6,Peninsula LL,Alief Taylor MV,Aff
7,Sonoma MM,Notre Dame CP,Neg
8,Glenbrook South WB,Peninsula LW,Aff
9,Little Rock Central LW,Glenbrook South MP,Neg
10,Taipei American YL,New Trier HJ,Aff
11,Winston Churchill LR,Montgomery Bell PR,Neg
12,Westwood LU,Montgomery Bell KF,Neg
13,Little Rock Central NT,Sonoma LY,Neg
14,Notre Dame BD,Washburn Rural CN,Neg
15,Liberal Arts and Science LR,Coppell TC,Aff
16,Dulles IC,Peninsula KX,Neg
17,McDonogh SP,Mamaroneck MP,Neg
18,Westminster PL,Montgomery Bell SJ,Neg
19,Iowa City RC,Sonoma MK,Neg
20,Glenbrook North CR,Head-Royce PC,Neg
21,Peninsula DY,Carrollton School of the Sacred Heart RG,Aff
22,Northview CT,South Eugene GR,Aff
23,Fort Collins EF,St Mark's School of Texas TK,Neg
24,St Mark's School of Texas GD,Niles West RK,Aff
25,Carrollton School of the Sacred Heart GM,New Trier SW,Neg
26,Head-Royce AJ,St Mark's School of Texas PH,Aff
27,Georgetown Day WR,Glenbrook North CL,Aff
28,Liberal Arts and Science BS,Winston Churchill MP,Aff
29,Kenwood SW,Montgomery Bell SL,Aff
30,Coppell JS,Meadows SK,Aff
31,Little Rock Central BG,Peninsula KK,Neg
32,Head-Royce DW,Westminster HY,Aff
33,Taipei American CH,Bellarmine  DD,Neg
34,Liberal Arts and Science BF,Greenhill AJ,Aff
35,Rowland Hall CS,Berkeley Prep RV,Neg
36,Alief Taylor CP,Georgetown Day MT,Neg
37,Glenbrook North FP,Denmark BR,Neg
38,Niles West SV,Northview LT,Neg
39,Washburn Rural CH,Westwood BA,Neg
40,Pace GK,Quarry Lane YY,Neg
41,Glenbrook North SY,Jesuit BP,Neg
42,Berkeley Prep RZ,New Trier MP,Aff
43,Pace GM,Berkeley Prep NY,Neg
44,Glenbrook South KZ,Caddo Magnet VA,Aff
45,Greenhill MO,Brophy SH,Aff
46,St Mark's School of Texas LP,Montgomery Bell TB,Aff
47,Quarry Lane CA,Bellarmine  AQ,Neg
48,Ronald Reagan FP,St Mark's School of Texas JB,Aff
49,Westwood AS,Greenhill CL,Neg
