,Aff,Neg,Win
0,Bellarmine  DD,New Trier MP,Aff
1,Glenbrook North FP,Blue Valley North CT,Neg
2,Polytechnic TK,Maine East GR,Neg
3,Westwood GK,Damien-St. Lucy's KN,Neg
4,Bronx Science EK,Barstow SH,Aff
5,Northside  AD,Pittsburgh Central Catholic HS,Aff
6,Pace MG,Washburn Rural CH,Neg
7,College Prep JG,Newark Science AO,Aff
8,Washburn Rural CN,St Paul Central UB,Aff
9,Jesuit LR,Walter Payton BR,Neg
10,Westminster LY,Bronx Science GC,Aff
11,Little Rock Central BG,Georgetown Day MW,Neg
12,Westminster GS,Carrollton School of the Sacred Heart JF,Aff
13,Lane Tech  JK,Kenwood BH,Aff
14,Berkeley Prep RG,Isidore Newman JN,Aff
15,Shawnee Mission East HT,Edina AC,Neg
16,Peninsula LiLi,Blue Valley Southwest DT,Neg
17,Northside  GT,Iowa City CL,Aff
18,Johns Creek VG,Blue Valley North PS,Neg
19,Leland SL,Head-Royce AP,Neg
20,Maine East HP,Munster BW,Neg
21,Carrollton School of the Sacred Heart RG,Coppell SJ,Neg
22,Taipei American YL,Mamaroneck FC,Aff
23,Damien-St. Lucy's CM,Bellarmine  CG,Neg
24,Canyon Crest CS,Pace NS,Neg
25,Isidore Newman WA,Taipei American LC,Neg
26,Montgomery Bell KF,Westwood BA,Neg
27,Hawken KZ,Notre Dame DP,Neg
28,Notre Dame AM,Washburn Rural CR,Neg
29,Shawnee Mission South MK,Peninsula BB,Neg
30,Goode STEM CH,Shawnee Mission South AZ,Neg
31,New Trier SY,Glenbrook South KZ,Neg
32,Blue Valley North LP,Liberal Arts and Science RL,Neg
33,Washburn Rural BH,New Trier HJ,Neg
34,Archbishop Mitty MR,Pace WE,Aff
35,Bronx Science FC,Niles North WC,Aff
36,Kenwood SW,St Mark's School of Texas PJ,Aff
37,Pine Crest AE,Munster KW,Neg
38,Quarry Lane HG,Von Steuben GL,Aff
39,Liberal Arts and Science LR,St Lucy's Priory GI,Aff
40,Peninsula KK,Head-Royce DW,Aff
41,Montgomery Bell RP,Bellarmine  RH,Neg
42,Berkeley Prep LZ,Notre Dame NP,Aff
43,St Paul Central MC,Minneapolis South WB,Neg
44,Interlake OW,Greenhill AJ,Neg
45,Greenhill BH,Niles North MK,Aff
46,Wylie E. Groves XC,Taipei American HC,Aff
47,Olathe North MM,Hawken LS,Aff
48,Liberal Arts and Science BS,Shawnee Mission East PL,Aff
49,Little Rock Central WC,Polytechnic BH,Neg
50,Brophy SH,Glenbrook North WC,Neg
51,Niles West SS,Von Steuben LM,Aff
52,Lowell BS,Sonoma MM,Neg
53,Montgomery Bell LS,Glenbrook North CR,Neg
54,Sonoma YK,Bellarmine  OL,Aff
55,BASIS Peoria JG,Notre Dame BC,Neg
56,NSU BL,Niles North McKa,Aff
57,Iowa City RL,NSU AY,Aff
58,Little Rock Central MK,McDowell LJ,Neg
59,Liberal Arts and Science BF,Peninsula LL,Neg
60,Blue Valley North BK,Kinkaid AK,Neg
61,Winston Churchill MP,San Marino CJ,Aff
62,Garfield TZ,Katy Taylor WW,Neg
63,Peninsula PY,Quarry Lane PS,Neg
64,San Marino LC,Berkeley Prep SS,Aff
65,Blue Valley Southwest PC,Montgomery Bell SJ,Neg
66,Niles North CS,College Prep AB,Aff
67,Glenbrook South MP,Montgomery Bell HM,Neg
68,Mamaroneck MT,Peninsula LW,Neg
69,Greenhill CL,Glenbrook South BW,Neg
70,Meadows KS,Pine Crest RR,Aff
71,Garfield NW,Munster TP,Aff
72,Brophy PP,Liberal Arts and Science CK,Neg
73,Glenbrook North KS,Alpharetta IN,Aff
74,Lane Tech  ZQ,Carrollton School of the Sacred Heart FB,Aff
75,Maine East JN,Pine Crest MK,Aff
76,Hawken LK,Berkeley Prep LL,Aff
77,Sonoma LM,Little Rock Central LW,Neg
78,Jones FR,Peninsula JS,Aff
79,Carrollton School of the Sacred Heart MG,Edina TS,Aff
80,Peninsula DY,Sonoma BS,Aff
81,Jesuit BP,Interlake CS,Aff
82,Niles North SP,Alpharetta MM,Neg
83,Lincoln Park BS,Von Steuben ML,Aff
84,Liberal Arts and Science LM,New Trier PH,Aff
85,Edina BL,New Trier HW,Neg
86,Interlake LY,Glenbrook North DE,Aff
87,Northview TC,Berkeley Prep RV,Neg
88,Lowell CL,Westminster VZ,Aff
89,Montgomery Bell TB,Berkeley Prep NY,Aff
90,Bellarmine  AQ,Whitney Young BM,Neg
91,Pace KG,Park Tudor WX,Aff
92,Little Rock Central BF,Westwood SG,Neg
93,Damien-St. Lucy's PP,Quarry Lane CM,Aff
