,Aff,Neg,Win
0,New Trier HY,NSU AC,Aff
1,St Ignatius FK,Berkeley Prep SS,Neg
2,George Washington MB,BASIS Peoria JG,Aff
3,Franklin SP,Johns Creek GV,Neg
4,Solon CN,Pace EW,Neg
5,USN CR,Madison Central AW,Neg
6,Woodward JT,Parkrose GH,Aff
7,George Washington PA,St Mark's School of Texas LL,Aff
8,Northview LN,Taipei American LC,Neg
9,Arizona College Prep AS,Glenbrook North SS,Neg
10,Pace NS,Solorio MA,Aff
11,George Washington VS,Berkeley Prep LG,Neg
12,Woodward AH,Wylie E. Groves PS,Neg
13,Solorio SM,Taipei American YT,Neg
14,Woodward PN,Gunn Independent KB,Neg
15,Isidore Newman CE,Pace GM,Neg
16,Taipei American HW,Solorio TG,Aff
17,Univ Of Chicago Lab LJ,NSU BL,Neg
18,New Trier SW,Yerba Buena QN,Aff
19,Unionville HK,St Mark's School of Texas DH,Aff
20,Woodward MP,New Trier HJ,Aff
21,Woodward HY,Glenbrook North CR,Neg
22,NSU AY,Carrollton School of the Sacred Heart FJ,Neg
23,St Mark's School of Texas JP,ADL KY,Aff
24,George Washington MR,St Mark's School of Texas GD,Aff
25,St Ignatius GaGo,Wylie E. Groves XC,Neg
