,Aff,Neg,Win
0,Rowland Hall UL,St Paul Central BM,Aff
1,Minneapolis South WB,Alpharetta NI,Aff
2,Northside  AD,Eagan MS,Aff
3,Lexington DS,Niles North CR,Aff
4,Interlake SC,St Paul Central UB,Neg
5,Alpharetta GM,West HS SLC AK,Neg
6,Alpharetta MM,Branson PW,Aff
7,Washington BD,Maine East AJ,Aff
8,Lexington NS,Edina BL,Aff
9,Westminster PL,Niles North CS,Aff
10,St Paul Central MC,Iowa City LL,Neg
11,Eagan WS,Niles North HD,Neg
12,Farmington CN,Interlake OW,Neg
13,Iowa City RC,Maize CL,Neg
14,Edina BK,Northside  GT,Aff
15,Niles North MK,Rowland Hall VD,Aff
16,Farmington NS,Iowa City HV,Aff
17,Edina TS,Lexington HS,Neg
18,Northside  KP,Westminster VZ,Neg
19,West HS SLC JS,Maine East GR,Aff
20,Rowland Hall GH,Edina AC,Aff
21,Edison Prep BB,Niles North SP,Neg
22,Interlake YL,Eagan TN,Neg
