,Aff,Neg,Win
0,Newark Tech OB,Eleanor Roosevelt NM,Neg
1,Baltimore City MW,Lexington DS,Aff
2,Bronx Science BG,Success Academy HSLA-MANHATTAN AB,Aff
3,McDonogh KL,Poly Prep Country Day BL,Neg
4,Bronx Science HP,Eleanor Roosevelt AA,Aff
5,Georgetown Day HL,Fenway MH,Aff
6,Somerville KS,Banneker BM,Neg
7,Forest Park AF,Lexington SiDa,Aff
8,BASIS DC TD,Lexington KB,Aff
9,McDonogh SP,Lexington WH,Neg
10,Success Academy HSLA-MANHATTAN WO,Bronx Science ML,Aff
11,Bronx Science NN,Georgetown Day GG,Neg
12,SWW NN,BASIS DC AS,Neg
13,Banneker DT,Northstar Academy HS - Newark AM,Aff
14,Collegiate FP,Ruth Batson FN,Aff
15,Georgetown Day KN,Lexington NS,Aff
16,BASIS DC PP,Eliot Hine TT,Aff
17,Bronx Science BD,DC International RG,Aff
18,Bronx Science OA,Brooklyn Technical HS Independent GS,Neg
19,Collegiate FT,Lexington XB,Aff
20,Somerville WC,Northstar Academy HS - Newark YQ,Neg
21,Bronx Science CF,Boston Latin LL,Aff
22,SWW DP,Georgetown Day WR,Neg
23,Duke Ellington SO,DC International HW,Aff
24,Banneker ST,Bronx Science SC,Neg
25,Success Academy HSLA-MANHATTAN WP,BASIS DC CM,Aff
26,Georgetown Day MX,Bronx Science CG,Aff
27,Calvert Hall JS,Baltimore City PM,Aff
28,Unionville Independent KH,Brooklyn Technical HS Independent CR,Neg
29,Banneker YG,Newark Science OO,Neg
