,Aff,Neg,Win
0,Montgomery Bell TB,Glenbrook North CR,Neg
1,Carrollton School of the Sacred Heart RG,Taipei American CH,Neg
2,New Trier SW,Pace GM,Aff
3,Glenbrook North CL,Liberal Arts and Science BF,Neg
4,Alief Taylor MV,Washburn Rural CH,Neg
5,Berkeley Prep NY,Notre Dame BD,Aff
6,Caddo Magnet VA,Winston Churchill LR,Aff
7,Peninsula KK,Taipei American YL,Neg
8,Peninsula KX,Ronald Reagan FP,Aff
9,St Mark's School of Texas PH,Iowa City RC,Aff
10,Quarry Lane YY,Kenwood SW,Neg
11,Meadows SK,Niles West SV,Neg
12,Montgomery Bell SL,McDonogh SP,Aff
13,St Mark's School of Texas TK,Dallas Highland Park CB,Neg
14,Greenhill CL,Northview CT,Aff
15,Sonoma LY,Liberal Arts and Science LR,Neg
16,Winston Churchill MP,Little Rock Central LW,Neg
17,St Mark's School of Texas JB,Pace GK,Aff
18,Berkeley Prep RV,Westminster PL,Aff
19,Niles West RK,Quarry Lane CA,Neg
20,Montgomery Bell KF,Head-Royce AJ,Neg
21,Newark Science AO,Olathe North CF,Aff
22,Washburn Rural CN,St Mark's School of Texas GD,Aff
23,Westwood BA,Glenbrook North SY,Aff
24,Sonoma MK,Montgomery Bell HM,Neg
25,New Trier HJ,Peninsula LL,Neg
26,Bellarmine  AQ,Glenbrook South WB,Neg
27,South Eugene GR,Georgetown Day WR,Neg
28,Peninsula LW,North Lake Early BC,Aff
29,Head-Royce PC,Rowland Hall CS,Aff
30,Greenhill AJ,Glenbrook South KZ,Neg
31,Montgomery Bell PR,Isidore Newman JN,Aff
32,Coppell TC,Little Rock Central NT,Neg
33,New Trier MP,Little Rock Central BG,Aff
34,Georgetown Day MT,Head-Royce DW,Aff
35,Glenbrook South MP,Sonoma MM,Aff
36,Taipei American YM,Peninsula DY,Neg
37,Washburn Rural CR,Liberal Arts and Science BS,Neg
38,Liberal Arts and Science LM,Dulles IC,Neg
39,Denmark BR,Rowland Hall GH,Aff
40,Montgomery Bell SJ,Glenbrook North FP,Aff
41,Notre Dame CP,Greenhill MO,Neg
42,Brophy SH,Berkeley Prep RZ,Neg
43,Mamaroneck MP,Carrollton School of the Sacred Heart GM,Aff
44,Brophy PP,Coppell JS,Neg
45,Northview LT,Westwood LU,Aff
46,Bellarmine  DD,St Mark's School of Texas LP,Aff
47,Jesuit BP,Fort Collins EF,Aff
48,Jesuit LR,Westwood AS,Neg
49,Westminster HY,Alief Taylor CP,Aff
