,Aff,Neg,Win
0,Berkeley Prep SS,Yerba Buena QN,Neg
1,Univ Of Chicago Lab LJ,George Washington JZ,Aff
2,George Washington MR,Woodward JT,Aff
3,Franklin SP,Woodward MP,Neg
4,Wylie E. Groves PS,Solorio SM,Aff
5,Johns Creek GV,Gunn Independent KB,Neg
6,Madison Central AW,Taipei American YT,Aff
7,Wylie E. Groves XC,New Trier HY,Aff
8,St Ignatius FK,Pace EW,Aff
9,BASIS Peoria JG,Solon CN,Neg
10,Isidore Newman CE,Glenbrook North CR,Neg
11,Taipei American HW,St Mark's School of Texas DH,Neg
12,Unionville HK,Pace GM,Neg
13,St Mark's School of Texas JP,Woodward AH,Aff
14,Taipei American LC,USN CR,Aff
15,Woodward HY,Pace NS,Aff
16,NSU AC,Solorio MA,Aff
17,New Trier SW,Berkeley Prep LG,Aff
18,George Washington PA,Solorio TG,Aff
19,St Ignatius GaGo,NSU BL,Aff
20,ADL KY,Parkrose GH,Neg
21,Woodward PN,George Washington VS,Neg
22,NSU AY,George Washington MB,Neg
23,St Mark's School of Texas LL,New Trier HJ,Neg
24,Glenbrook North SS,Carrollton School of the Sacred Heart FJ,Neg
25,St Mark's School of Texas GD,Northview LN,Neg
