,Aff,Neg,Win
0,Berkeley Prep RV,Niles North KM,Aff
1,Mamaroneck MP,Woodward CM,Neg
2,Liberal Arts and Science BF,McDonogh SP,Aff
3,Denmark Independent BL,Mamaroneck AG,Neg
4,Liberal Arts and Science LiRa,Whitney Young BM,Neg
5,Glenbrook North CR,Wylie E. Groves XC,Aff
6,Glenbrook South KZ,Glenbrook North CL,Neg
7,Hawken LK,Northview TC,Neg
8,Montgomery Bell RP,Glenbrook South PB,Neg
9,Woodward NP,Kenwood SW,Neg
10,Pace KG,Montgomery Bell TB,Neg
11,Montgomery Bell SJ,University OM,Aff
12,Niles North CS,New Trier MP,Neg
13,Berkeley Prep LZ,Montgomery Bell LS,Neg
14,Mamaroneck FC,Liberal Arts and Science LR,Neg
