,Aff,Neg,Win
0,Bellarmine  DD,Mamaroneck MP,Aff
1,Little Rock Central LW,Glenbrook South BW,Neg
2,Glenbrook South KZ,Berkeley Prep RV,Neg
3,Greenhill CL,Newark Science AO,Aff
4,Berkeley Prep RZ,Peninsula DY,Aff
5,Westwood BA,Glenbrook South MP,Aff
6,Berkeley Prep NY,Peninsula KX,Neg
7,Washburn Rural CN,Quarry Lane YY,Aff
8,Northview TC,Coppell SJ,Aff
9,Montgomery Bell RP,Peninsula LL,Neg
10,Taipei American YL,Olathe North CF,Aff
11,Denmark BR,Montgomery Bell HM,Neg
12,Liberal Arts and Science LM,Bellarmine  AQ,Neg
13,Montgomery Bell SJ,Head-Royce AJ,Aff
14,Head-Royce PC,Liberal Arts and Science BS,Neg
