,Aff,Neg,Win
0,Notre Dame BD,Taipei American YM,Aff
1,Montgomery Bell TB,Bellarmine  AQ,Neg
2,Iowa City RC,Montgomery Bell SJ,Neg
3,Little Rock Central LW,Olathe North CF,Neg
4,Sonoma MK,Glenbrook North FP,Neg
5,Brophy SH,Sonoma LY,Neg
6,Coppell TC,St Mark's School of Texas PH,Neg
7,Liberal Arts and Science LM,Georgetown Day WR,Aff
8,Washburn Rural CH,Westwood AS,Aff
9,Ronald Reagan FP,Little Rock Central BG,Aff
10,Denmark BR,Berkeley Prep NY,Neg
11,Newark Science AO,Montgomery Bell HM,Neg
12,Westwood LU,McDonogh SP,Aff
13,Little Rock Central NT,Peninsula LW,Aff
14,Niles West SV,Glenbrook North CR,Neg
15,Westminster HY,New Trier HJ,Neg
16,Montgomery Bell KF,Rowland Hall GH,Neg
17,Isidore Newman JN,Pace GK,Aff
18,Niles West RK,Alief Taylor MV,Aff
19,Liberal Arts and Science BF,Peninsula LL,Neg
20,Meadows SK,Carrollton School of the Sacred Heart GM,Aff
21,Bellarmine  DD,Liberal Arts and Science BS,Aff
22,Quarry Lane YY,Montgomery Bell PR,Aff
23,Winston Churchill LR,South Eugene GR,Neg
24,Head-Royce PC,St Mark's School of Texas TK,Aff
25,Glenbrook North SY,North Lake Early BC,Aff
26,Glenbrook South KZ,Mamaroneck MP,Aff
27,Kenwood SW,Head-Royce DW,Aff
28,Glenbrook South WB,Peninsula KX,Aff
29,Jesuit LR,Dallas Highland Park CB,Aff
30,Coppell JS,Peninsula DY,Aff
31,Greenhill AJ,Carrollton School of the Sacred Heart RG,Aff
32,Taipei American CH,Quarry Lane CA,Neg
33,Alief Taylor CP,Westminster PL,Neg
34,Northview CT,Jesuit BP,Aff
35,Notre Dame CP,Greenhill CL,Neg
36,St Mark's School of Texas GD,Washburn Rural CR,Neg
37,New Trier MP,St Mark's School of Texas JB,Aff
38,Rowland Hall CS,Dulles IC,Neg
39,Pace GM,Fort Collins EF,Aff
40,Liberal Arts and Science LR,Westwood BA,Neg
41,Berkeley Prep RZ,Taipei American YL,Aff
42,Caddo Magnet VA,Winston Churchill MP,Neg
43,Head-Royce AJ,Berkeley Prep RV,Neg
44,Washburn Rural CN,Peninsula KK,Aff
45,Brophy PP,St Mark's School of Texas LP,Aff
46,Northview LT,New Trier SW,Neg
47,Glenbrook North CL,Sonoma MM,Aff
48,Georgetown Day MT,Greenhill MO,Neg
49,Glenbrook South MP,Montgomery Bell SL,Aff
