,Aff,Neg,Win
0,Rowland Hall CS,Notre Dame BC,Neg
1,West HS SLC AK,College Prep JT,Aff
2,George Washington PA,Sonoma PB,Neg
3,College Prep JG,Notre Dame DP,Aff
4,College Prep BA,Barstow SB,Aff
5,George Washington JZ,Sonoma KB,Aff
6,College Prep NS,Rowland Hall DL,Aff
7,Sonoma KY,George Washington MR,Aff
8,Barstow TM,Green Canyon ZO,Neg
9,Head-Royce AP,Rowland Hall GH,Aff
10,Park City LC,Corner Canyon KD,Neg
11,Notre Dame AM,George Washington MB,Aff
12,Notre Dame GM,College Prep BT,Aff
13,West HS SLC JS,Head-Royce DW,Neg
14,Rowland Hall UV,Notre Dame ND,Neg
15,Meadows KK,George Washington VS,Aff
16,Green Canyon EH,Fort Collins CI,Aff
17,Barstow GH,Park City LS,Aff
18,Fort Collins FY,Sonoma ML,Neg
19,Salem Hills DD,Alta CL,Aff
